name	slug	count	level	parent_name	parent_slug	path	name_raw												
Coventry City	coventry-city	12	1	Other Clubs	other-clubs	other-clubs/coventry-city	— Coventry City												
Cristian Romero	cristian-romero	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/cristian-romero	— Cristian Romero												
Cristiano Ronaldo	ronaldo-7-replica-football-shirt	23	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ronaldo-7-replica-football-shirt	— Cristiano Ronaldo												
Croatia	croatia	13	2	EUROPE	europe	international-teams/europe/croatia	— — Croatia												
Cruzeiro	cruzeiro	2	1	Other Clubs	other-clubs	other-clubs/cruzeiro	— Cruzeiro												
Crystal Palace	crystal-palace-replica-football-shirt	34	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/crystal-palace-replica-football-shirt	— Crystal Palace												
Czechia	czechia	2	2	EUROPE	europe	international-teams/europe/czechia	— — Czechia												
Danmark	danmark	10	0			danmark	Danmark												
Darwin Gabriel Núñez Ribeiro	darwin-9	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/darwin-9	— Darwin Gabriel Núñez Ribeiro												
David Palmer	palmer-24	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/palmer-24	— David Palmer												
David Raya Martín	raya-1	4	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/raya-1	— David Raya Martín												
David Robert Joseph Beckham	beckham-7	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/beckham-7	— David Robert Joseph Beckham												
Declan Rice	rice-41	16	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/rice-41	— Declan Rice												
Denmark	denmark-europe	10	2	EUROPE	europe	international-teams/europe/denmark-europe	— — Denmark												
Derby County	derby-county	7	1	Other Clubs	other-clubs	other-clubs/derby-county	— Derby County												
Diego Armando Maradona	maguire-6	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/maguire-6	— Diego Armando Maradona												
Dominik Szoboszlai	szoboszlai-8	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/szoboszlai-8	— Dominik Szoboszlai												
Dortmund	dortmund	0	1	Other Clubs	other-clubs	other-clubs/dortmund	— Dortmund												
Désiré Doué	d-doue-14	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/d-doue-14	— Désiré Doué												
Ederson Santana de Moraes	ederson-m-31	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/ederson-m-31	— Ederson Santana de Moraes												
Egypt	egypt	7	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/egypt	— — Egypt												
Eintracht Frankfurt	eintracht-frankfurt	10	1	Bundesliga	bundesliga-replica-football-shirt	bundesliga-replica-football-shirt/eintracht-frankfurt	— Eintracht Frankfurt												
Emiliano Martínez	martinez-1	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/martinez-1	— Emiliano Martínez												
England	england-europe	111	2	EUROPE	europe	international-teams/europe/england-europe	— — England												
Enzo Fernández	enzo-8	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/enzo-8	— Enzo Fernández												
Erling Haaland’s	haaland-9	26	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/haaland-9	— Erling Haaland’s												
EUROPE	europe	390	1	International Teams	international-teams	international-teams/europe	— EUROPE												
Everton	everton-replica-football-shirt	43	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/everton-replica-football-shirt	— Everton												
FC Porto	fc-porto-other	6	1	Other Clubs	other-clubs	other-clubs/fc-porto-other	— FC Porto												
Federico Chiesa	chiesa-14	3	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/chiesa-14	— Federico Chiesa												
Feyenoord	feyenoord	0	1	Other Clubs	other-clubs	other-clubs/feyenoord	— Feyenoord												
Florian Richard Wirtz	wirtz-10	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/wirtz-10	— Florian Richard Wirtz												
Fluminense	fluminense	8	0			fluminense	Fluminense												
France	france-europe	29	2	EUROPE	europe	international-teams/europe/france-europe	— — France												
Freiburg	freiburg	1	1	Bundesliga	bundesliga-replica-football-shirt	bundesliga-replica-football-shirt/freiburg	— Freiburg												
Fulham United	fulham-replica-football-shirt	26	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/fulham-replica-football-shirt	— Fulham United												
G.Jesus 9	g-jesus-9	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/g-jesus-9	— G.Jesus 9												
Gabriel Martinelli	martinelli-11	10	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/martinelli-11	— Gabriel Martinelli												
General	general	82	0			general	General												
